title,content,publish_time,source,url,symbol,query,search_time
深沪北百元股数量达149只，科创板股票占43.62%,龙芯中科130.77-0.680.01电子688123聚辰股份130.44-1.520.02电子301413安培龙130.18,2025-11-27 17:54:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576711068.html,SH688047,688047 最新消息,2025-11-14 14:00:00
科创板百元股达65只，寒武纪-U股价最高,é¾è¯ä¸­ç§130.77-0.680.78çµå­688123èè¾°è¡ä»½130.44-1.522.35çµå­688120åæµ·æ¸,2025-11-27 16:46:15,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576644989.html,SH688047,688047 最新消息,2025-11-14 14:00:00
科创板平均股价38.87元，6股股价超300元,龙芯中科131.660.870.77电子688318财富趋势130.500.621.00计算机688120华海清科129.250.951.48,2025-11-26 16:59:00,AKShare-东方财富,http://finance.eastmoney.com/a/202511263575457983.html,SH688047,688047 最新消息,2025-11-14 14:00:00
科创板平均股价39.44元，8股股价超300元,惠泰医疗234.11-0.311.16医药生物688608恒玄科技228.473.803.38电子688041海光信息217.300.630.88,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688617,688617 最新消息,2025-11-14 14:00:00
深沪北百元股数量达153只，电子行业占比最高,惠泰医疗234.11-0.310.01医药生物688608恒玄科技228.473.800.03电子30162,2025-11-28 18:00:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577864919.html,SH688617,688617 最新消息,2025-11-14 14:00:00
深沪北百元股数量达149只，科创板股票占43.62%,惠泰医疗234.84-2.940.02医药生物688608恒玄科技220.10-0.540.03电子688041海光信息215.951.080.02,2025-11-27 17:54:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576711068.html,SH688617,688617 最新消息,2025-11-14 14:00:00
科创板百元股达65只，寒武纪-U股价最高,惠泰医疗234.84-2.941.67医药生物688608恒玄科技220.10-0.542.96电子688041海光信息215.951.081.65,2025-11-27 16:46:15,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576644989.html,SH688617,688617 最新消息,2025-11-14 14:00:00
科创板平均股价38.87元，6股股价超300元,惠泰医疗241.95-1.881.72医药生物688608恒玄科技221.302.933.38电子688041海光信息213.653.361.28,2025-11-26 16:59:00,AKShare-东方财富,http://finance.eastmoney.com/a/202511263575457983.html,SH688617,688617 最新消息,2025-11-14 14:00:00
科创新能源ETF(588830)涨近2%，行业需求持续高景气,8599)、晶科能源(688223)、阿特斯(688472)、大全能源688303、,2025-11-27 15:08:32,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576580695.html,SH688303,688303 最新消息,2025-11-14 14:00:00
科创新能源ETF(588830)涨超2.3%，工信部中期审核预计12月出结果,8599)、晶科能源(688223)、阿特斯(688472)、大全能源688303、,2025-11-27 13:35:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576494216.html,SH688303,688303 最新消息,2025-11-14 14:00:00
机构指出北美AIDC配储逻辑逐步清晰，或具备极大增量弹性，科创新能源ETF涨超2%,8599)、晶科能源(688223)、阿特斯(688472)、大全能源688303、,2025-11-27 10:12:45,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576422831.html,SH688303,688303 最新消息,2025-11-14 14:00:00
科创新能源ETF(588830)涨超2.7%，储能需求有望迎来多轮驱动,8599)、晶科能源(688223)、阿特斯(688472)、大全能源688303、,2025-11-25 10:57:44,AKShare-东方财富,http://finance.eastmoney.com/a/202511253574012921.html,SH688303,688303 最新消息,2025-11-14 14:00:00
机构称钠电是增量的千亿市场，科创新能源ETF(588830)备受关注,8599)、晶科能源(688223)、阿特斯(688472)、大全能源688303、,2025-11-18 14:04:50,AKShare-东方财富,http://finance.eastmoney.com/a/202511183567506565.html,SH688303,688303 最新消息,2025-11-14 14:00:00
君实生物拟使用不超24亿元暂时闲置募集资金进行现金管理,北京商报讯11月27日晚间，君实生物（688180）发布公告称，公司计划使用最高不超过24亿元（包含本数）的暂时闲置募集资金进行现金管理,2025-11-27 20:18:43,AKShare-东方财富,http://finance.eastmoney.com/a/202511273576800851.html,SH688180,688180 最新消息,2025-11-14 14:00:00
君实生物JS001sc一线治疗非鳞状非小细胞肺癌的Ⅲ期临床研究达到主要研究终点,北京商报讯（记者丁宁）11月24日晚间，君实生物（688180）发布公告称，公司产品特瑞普利单抗注射液（皮下注射）（代号,2025-11-24 21:24:00,AKShare-东方财富,http://finance.eastmoney.com/a/202511243573230319.html,SH688180,688180 最新消息,2025-11-14 14:00:00
君实生物：JS001sc一线治疗非鳞状非小细胞肺癌的Ⅲ期临床研究达到主要研究终点,人民财讯11月24日电，君实生物68818011月24日公告，近日，公司产品特瑞普利单抗注射液（皮下注射）（代号：,2025-11-24 19:30:13,AKShare-东方财富,http://finance.eastmoney.com/a/202511243573162237.html,SH688180,688180 最新消息,2025-11-14 14:00:00
君实生物JS001sc一线治疗非鳞状非小细胞肺癌的Ⅲ期临床研究达到主要研究终点 计划递交上市申请,11月24日，君实生物（688180/01877）发布公告，近日，公司产品特瑞普利单抗注射液（皮下注射）（代号：JS001sc,2025-11-24 18:54:32,AKShare-东方财富,http://finance.eastmoney.com/a/202511243573149318.html,SH688180,688180 最新消息,2025-11-14 14:00:00
直击国谈第二日：抗癌与慢病药物成主角 礼来、诺和诺德、君实等谈判胶着博弈升温,君实生物-U（688180.SH）的昂戈瑞西单抗注射液、奥赛康（002755.SZ）的利厄替尼片均位列今日谈判清单，成为国产创新药冲刺医保准入的重要代表,2025-10-31 15:19:26,AKShare-东方财富,http://finance.eastmoney.com/a/202510313551869955.html,SH688180,688180 最新消息,2025-11-14 14:00:00
强势股追踪 主力资金连续5日净流入112股,从主力资金净流入总规模来看，澜起科技主力资金净流入金额最大，连续5天累计净流入6.16亿元，长江电力紧随其后，8天累计净流入,2025-11-28 18:00:43,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577866587.html,SH688008,688008 最新消息,2025-11-17 10:30:00
深沪北百元股数量达153只，电子行业占比最高,澜起科技118.500.940.02电子000858五粮液117.85-0.080.21食品饮料688622禾信仪器116.530.010.02,2025-11-28 18:00:10,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577864919.html,SH688008,688008 最新消息,2025-11-17 10:30:00
科创板平均股价39.44元，8股股价超300元,澜起科技118.500.941.59电子688622禾信仪器116.530.012.40机械设备688686奥普特116.531.050.56,2025-11-28 17:59:36,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577862818.html,SH688008,688008 最新消息,2025-11-17 10:30:00
三季度国内消费级AI/AR市场销量同比激增186%，消费电子ETF(561600)涨超1.1%,256)、工业富联(601138)、中芯国际(688981)、澜起科技688008、,2025-11-28 13:28:16,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577650644.html,SH688008,688008 最新消息,2025-11-17 10:30:00
能源局组织开展“人工智能+”能源试点工作，AI人工智能ETF(512930)涨近1%,00308)、新易盛(300502)、寒武纪(688256)、澜起科技688008、,2025-11-28 13:22:46,AKShare-东方财富,http://finance.eastmoney.com/a/202511283577651014.html,SH688008,688008 最新消息,2025-11-17 10:30:00
